id;first_name;last_name;email;status;institution;course;description;privacy;dark_mode
1;Julianne;Krajcik;Lewis_Hudson@yahoo.com;Texas;deliverables;Avon redundant;../fake-data/blob/hipster.txt;true;false
2;Cleora;Langosh;Sandy_Purdy1@gmail.com;Tuna;deposit SMTP synthesize;payment frame;../fake-data/blob/hipster.txt;false;true
3;Alfonso;Cartwright;Elena50@yahoo.com;compressing;FTP indigo;Terrace Tasty;../fake-data/blob/hipster.txt;true;false
4;Noble;Schultz;Ansley75@gmail.com;bus;COM;Senior Mississippi back-end;../fake-data/blob/hipster.txt;false;true
5;Emely;Turner;Jennyfer_Koepp98@gmail.com;primary;envisioneer Kids;complexity;../fake-data/blob/hipster.txt;false;true
6;Abe;Deckow;Buddy.Weissnat@gmail.com;Shoes;Account content-based Programmable;Alaska Small;../fake-data/blob/hipster.txt;false;true
7;Billie;Hermann;Helmer.Nienow@yahoo.com;repurpose;Grocery primary;Digitized Infrastructure;../fake-data/blob/hipster.txt;false;true
8;Grayce;Wiza;Shania65@gmail.com;International;Granite;Bedfordshire interface;../fake-data/blob/hipster.txt;true;false
9;Kaya;Watsica;Margret_Kling@gmail.com;rich;heuristic;structure Personal invoice;../fake-data/blob/hipster.txt;false;false
10;Briana;Ryan;Chesley_Blanda@gmail.com;Mills Auto Shirt;upward-trending;Web red;../fake-data/blob/hipster.txt;false;true
